subject,subject_type,predicate,object,object_type,subject_cui,object_cui,subject_def,object_def,degree_subject,degree_object,key
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:colonic_stents,medical_device,C0939964,C0940520,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,Colonic stents are flexible tubes inserted into the colon to relieve obstructions and maintain bowel patency.,12.0,3.0,umls:rectal_pouch_umls:location_of_umls:colonic_stents
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:neoplasms_colonic,neoplastic_process,C0939964,C0009375,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,Neoplasms_colonic are abnormal growths or tumors that develop in the colon.,12.0,5.0,umls:rectal_pouch_umls:location_of_umls:neoplasms_colonic
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:quality_of_preparation,qualitative_concept,C0939964,C0939976,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,"Quality_of_preparation refers to the standard or degree of excellence in how something is planned, organized, or made ready.",12.0,3.0,umls:rectal_pouch_umls:location_of_umls:quality_of_preparation
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:polypectomy,therapeutic_or_preventive_procedure,C0939964,C0521210,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,Complete or partial removal of a polypoid lesion from the mucosal surface.,12.0,6.0,umls:rectal_pouch_umls:location_of_umls:polypectomy
umls:hypertrophic_cicatrix,acquired_abnormality,umls:manifestation_of,umls:epidermolysis_bullosa_pretibial,congenital_abnormality,C0162810,C0432321,A permanent mark on the skin caused by deposits of excessive amounts of collagen during wound healing. It is elevated and does not extend beyond the original boundaries of the wound; the elevation may stabilize or regress spontaneously.,Epidermolysis bullosa pretibial is a rare genetic skin disorder characterized by fragile skin and blistering primarily on the shins.,1.0,1.0,umls:hypertrophic_cicatrix_umls:manifestation_of_umls:epidermolysis_bullosa_pretibial
umls:cerebellar_cysts,acquired_abnormality,umls:manifestation_of,umls:muscular_dystrophy_congenital_1c,disease_or_syndrome,C1847762,C1847759,Cerebellar cysts are fluid-filled sacs located within or on the cerebellum of the brain.,Muscular dystrophy congenital 1C is a genetic disorder characterized by muscle weakness and developmental delays present from birth.,1.0,2.0,umls:cerebellar_cysts_umls:manifestation_of_umls:muscular_dystrophy_congenital_1c
umls:prolapse_vaginal,acquired_abnormality,umls:manifestation_of,umls:pelvic_organ_prolapse_susceptibility_to,finding,C0205990,C2752090,Vaginal prolapse is the descent or bulging of vaginal tissue into or outside the vaginal canal due to weakened pelvic muscles.,Pelvic organ prolapse susceptibility refers to the likelihood or risk of developing a condition where pelvic organs descend into or outside the vaginal canal due to weakened supporting tissues.,1.0,1.0,umls:prolapse_vaginal_umls:manifestation_of_umls:pelvic_organ_prolapse_susceptibility_to
umls:secondary_microcephaly,acquired_abnormality,umls:manifestation_of,umls:intellectual_developmental_disorder_autosomal_recessive_13,mental_or_behavioral_dysfunction,C0431352,C2750791,Head circumference which falls below 2 standard deviations below the mean for age and gender because of insufficient head growth after birth. [https://orcid.org/0000-0002-0736-9199],Intellectual developmental disorder autosomal recessive 13 is a genetic condition characterized by impaired intellectual functioning and developmental delays inherited in an autosomal recessive pattern.,1.0,2.0,umls:secondary_microcephaly_umls:manifestation_of_umls:intellectual_developmental_disorder_autosomal_recessive_13
umls:cheloid,acquired_abnormality,umls:manifestation_of,umls:coli_adenomatous_polyposis,neoplastic_process,C0022548,C0032580,"An irregularly shaped, elevated mark on the skin caused by deposits of excessive amounts of collagen during wound healing. It extends beyond the original boundaries of the wound and may enlarge progressively.","Coli adenomatous polyposis is a hereditary condition characterized by the development of numerous adenomatous polyps in the colon, increasing the risk of colorectal cancer.",1.0,1.0,umls:cheloid_umls:manifestation_of_umls:coli_adenomatous_polyposis
umls:rectal_pouch,acquired_abnormality,umls:part_of,umls:gastrointestinal_tract_lower,body_location_or_region,C0939964,C0226875,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,"The lower gastrointestinal tract consists of the small intestine, large intestine, rectum, and anus, responsible for nutrient absorption and waste elimination.",12.0,3.0,umls:rectal_pouch_umls:part_of_umls:gastrointestinal_tract_lower
umls:assess,activity,umls:associated_with,umls:deprecated_respiratory_therapy_treatment_plan_assessment_narrative,clinical_attribute,C1516048,C2361080,"The final result of a determination of the value, significance, or extent of.",A deprecated narrative documenting the assessment of a respiratory therapy treatment plan.,7.0,1.0,umls:assess_umls:associated_with_umls:deprecated_respiratory_therapy_treatment_plan_assessment_narrative
umls:assess,activity,umls:associated_with,umls:deprecated_alcohol_substance_abuse_rehabilitation_treatment_plan_assessment_narrative,clinical_attribute,C1516048,C2360632,"The final result of a determination of the value, significance, or extent of.","A Deprecated Alcohol-substance abuse rehabilitation treatment plan, Assessment (narrative) is an outdated clinical document used to evaluate and outline a patient's progress and needs during alcohol-substance abuse rehabilitation.",7.0,2.0,umls:assess_umls:associated_with_umls:deprecated_alcohol_substance_abuse_rehabilitation_treatment_plan_assessment_narrative
umls:preparation,activity,umls:evaluation_of,umls:colonoscopies,diagnostic_procedure,C1521827,C0009378,The act or process of making something ready.,Endoscopic examination of the luminal surface of the colon.,2.0,3.0,umls:preparation_umls:evaluation_of_umls:colonoscopies
umls:calculation_technique,activity,umls:method_of,umls:deprecated_fev1_predicted_by_calculation,clinical_attribute,C1441506,C0802966,The procedure or activity of determining something by mathematical or logical methods.,A deprecated metric representing predicted FEV1 values calculated using a specific formula.,1.0,1.0,umls:calculation_technique_umls:method_of_umls:deprecated_fev1_predicted_by_calculation
umls:nilotinib,amino_acid_peptide_or_protein,umls:ingredient_of,umls:nilotinib_150_mg,clinical_drug,C1721377,C2920193,"An orally bioavailable aminopyrimidine-derivative Bcr-Abl tyrosine kinase inhibitor with antineoplastic activity. Designed to overcome imatinib resistance, nilotinib binds to and stabilizes the inactive conformation of the kinase domain of the Abl protein of the Bcr-Abl fusion protein, resulting in the inhibition of the Bcr-Abl-mediated proliferation of Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) cells. This agent also inhibits the receptor tyrosine kinases platelet-derived growth factor receptor (PDGF-R) and c-kit, a receptor tyrosine kinase mutated and constitutively activated in most gastrointestinal stromal tumors (GISTs). With a binding mode that is energetically more favorable than that of imatinib, nilotinib has been shown to have an approximately 20-fold increased potency in kinase and proliferation assays compared to imatinib.",Nilotinib 150 mg is a medication used to treat certain types of chronic myeloid leukemia.,1.0,1.0,umls:nilotinib_umls:ingredient_of_umls:nilotinib_150_mg
umls:catguts,amino_acid_peptide_or_protein,umls:ingredient_of,umls:sutures_natural_absorbable_surgical_gut_chromium_treated,medical_device,C0007420,C1962924,Sterile collagen strands obtained from healthy mammals. They are used as absorbable surgical ligatures and are frequently impregnated with chromium or silver for increased strength. They tend to cause tissue reaction.,Chromium-treated natural absorbable surgical gut sutures are biodegradable stitches used to close wounds that resist rapid degradation.,1.0,1.0,umls:catguts_umls:ingredient_of_umls:sutures_natural_absorbable_surgical_gut_chromium_treated
umls:chromatins,amino_acid_peptide_or_protein,umls:part_of,umls:nucleoplasm,cell_component,C0008546,C0682537,"The genetic material of the nucleus, consisting of deoxyribonucleoprotein, which occurs in two forms during the phase between mitotic divisions: 1) as heterochromatin, seen as condensed, readily stainable clumps; 2) as euchromatin, dispersed lightly staining or nonstaining material. During mitotic division the chromatin condenses into chromosomes.",The nuclear contents other than the nucleolus.,4.0,3.0,umls:chromatins_umls:part_of_umls:nucleoplasm
umls:collagen_hydrolyzed,amino_acid_peptide_or_protein,umls:part_of,umls:ascorbic_acid_collagen_hydrolyzed,pharmacologic_substance,C1533391,C2930019,Hydrolyzed collagen is collagen protein broken down into smaller peptides for easier absorption and use in the body.,"Ascorbic acid collagen hydrolyzed is a supplement combining vitamin C with hydrolyzed collagen peptides to support skin, joint, and connective tissue health.",1.0,1.0,umls:collagen_hydrolyzed_umls:part_of_umls:ascorbic_acid_collagen_hydrolyzed
umls:absent_left_common_carotid_artery,anatomical_abnormality,umls:branch_of,umls:aortic_arch_structure,body_part_organ_or_organ_component,C0500585,C0003489,Absent left common carotid artery is a rare vascular anomaly where the left common carotid artery is congenitally missing.,"The aortic arch is the curved portion of the aorta that distributes blood from the heart to the head, neck, and upper limbs.",1.0,2.0,umls:absent_left_common_carotid_artery_umls:branch_of_umls:aortic_arch_structure
umls:inversion_of_nipple_disorder,anatomical_abnormality,umls:manifestation_of,umls:inversion_of_nipple_disorder,anatomical_abnormality,C0269269,C0269269,The presence of nipples that instead of pointing outward are retracted inwards. [https://orcid.org/0009-0006-4530-3154],The presence of nipples that instead of pointing outward are retracted inwards. [https://orcid.org/0009-0006-4530-3154],2.0,2.0,umls:inversion_of_nipple_disorder_umls:manifestation_of_umls:inversion_of_nipple_disorder
umls:short_metacarpals,anatomical_abnormality,umls:manifestation_of,umls:atelosteogenesis_type_1,congenital_abnormality,C1837084,C0265283,Diminished length of one or more metacarpal bones in relation to the others of the same hand or to the contralateral metacarpal. [PMID:19125433],Atelosteogenesis type 1 is a rare genetic disorder characterized by severe skeletal abnormalities and short-limbed dwarfism.,1.0,1.0,umls:short_metacarpals_umls:manifestation_of_umls:atelosteogenesis_type_1
umls:malocclusion_nos,anatomical_abnormality,umls:manifestation_of,umls:three_m_syndrome_2,disease_or_syndrome,C0024636,C2752041,"Dental malocclusion refers to an abnormality of the occlusion, or alignment, of the teeth and the way the upper and lower teeth fit together, resulting in overcrowding of teeth or in abnormal bite patterns. [PMID:31468724]","Three M syndrome 2 is a rare genetic disorder characterized by growth retardation, distinctive facial features, and skeletal abnormalities.",1.0,2.0,umls:malocclusion_nos_umls:manifestation_of_umls:three_m_syndrome_2
umls:abnormal_toe_morphology,anatomical_abnormality,umls:manifestation_of,umls:microcephaly_micromelia_syndrome,disease_or_syndrome,C2674738,C1855079,An anomaly of a toe. [https://orcid.org/0000-0002-0736-9199],Microcephaly micromelia syndrome is a rare genetic disorder characterized by an abnormally small head and shortened limbs.,1.0,1.0,umls:abnormal_toe_morphology_umls:manifestation_of_umls:microcephaly_micromelia_syndrome
umls:talipes_cavus,anatomical_abnormality,umls:manifestation_of,umls:charcot_marie_tooth_disease_x_linked_1,disease_or_syndrome,C0039273,C0393808,A foot deformity in which the arch of the foot is high and often the heel adducted.,Charcot-Marie-Tooth disease X-linked 1 is a genetic disorder causing progressive nerve damage primarily affecting the peripheral nerves.,1.0,1.0,umls:talipes_cavus_umls:manifestation_of_umls:charcot_marie_tooth_disease_x_linked_1
umls:cysts_bone,anatomical_abnormality,umls:manifestation_of,umls:sarcoidosis_susceptibility_to_1,finding,C0005937,C2697310,"A usually unilocular, intramedullary cystic cavity in the bone. It is lined by fibrous tissue and is filled with serous or serosanguineous fluid. It can arise from any bone. The most frequent sites are proximal humerus, proximal femur, and proximal tibia. In most cases the lesion is asymptomatic and is usually detected after a pathologic fracture or during radiologic examination for unrelated reasons. Recurrences have been reported in a minority of cases.",Sarcoidosis_susceptibility_to_1 is a genetic factor associated with increased risk of developing sarcoidosis.,1.0,1.0,umls:cysts_bone_umls:manifestation_of_umls:sarcoidosis_susceptibility_to_1
umls:contracture_of_tendo_achilles,anatomical_abnormality,umls:manifestation_of,umls:intellectual_developmental_disorder_autosomal_recessive_5,mental_or_behavioral_dysfunction,C0410264,C1970199,A contracture of the Achilles tendon. [https://orcid.org/0000-0002-0736-9199],Intellectual developmental disorder autosomal recessive 5 is a genetic condition characterized by impaired intellectual functioning and developmental delays inherited in an autosomal recessive pattern.,1.0,1.0,umls:contracture_of_tendo_achilles_umls:manifestation_of_umls:intellectual_developmental_disorder_autosomal_recessive_5
umls:iris_coloboma,anatomical_abnormality,umls:manifestation_of,umls:nevus_syndrome_basal_cell,neoplastic_process,C0240063,C0004779,"A coloboma of the iris. [https://orcid.org/0000-0002-0736-9199, PMID:19369671]",Nevus syndrome basal cell is a genetic disorder characterized by multiple basal cell carcinomas and skin abnormalities.,1.0,2.0,umls:iris_coloboma_umls:manifestation_of_umls:nevus_syndrome_basal_cell
umls:absent_ostium_of_right_coronary_artery,anatomical_abnormality,umls:part_of,umls:anterior_aortic_sinus,body_part_organ_or_organ_component,C0500477,C0226016,Absent ostium of the right coronary artery is a congenital anomaly where the normal opening of the right coronary artery from the aorta is missing.,The anterior aortic sinus is one of the three dilations of the aortic root located just above the aortic valve.,2.0,1.0,umls:absent_ostium_of_right_coronary_artery_umls:part_of_umls:anterior_aortic_sinus
umls:gastrointestinal_tract_upper,anatomical_structure,umls:location_of,umls:gastrointestinal_endoscopy,diagnostic_procedure,C3203348,C0079278,"The upper part of the gastrointestinal tract that includes the esophagus, stomach, and duodenum.",Any endoscopic procedure that visualizes a part of the gastrointestinal tract.,2.0,3.0,umls:gastrointestinal_tract_upper_umls:location_of_umls:gastrointestinal_endoscopy
umls:gastrointestinal_tract_upper,anatomical_structure,umls:location_of,umls:extent_of_examination,qualitative_concept,C3203348,C0939981,"The upper part of the gastrointestinal tract that includes the esophagus, stomach, and duodenum.",Extent_of_examination refers to the scope or range of an investigation or analysis conducted.,2.0,2.0,umls:gastrointestinal_tract_upper_umls:location_of_umls:extent_of_examination
umls:fissures,anatomical_structure,umls:manifestation_of,umls:keratoderma_with_scleroatrophy_of_the_extremities,congenital_abnormality,C0332469,C0406767,A long narrow slit or groove that divides an organ into lobes.,"Keratoderma with scleroatrophy of the extremities is a rare skin disorder characterized by thickened, hardened skin and localized tissue wasting on the hands and feet.",2.0,1.0,umls:fissures_umls:manifestation_of_umls:keratoderma_with_scleroatrophy_of_the_extremities
umls:vasculatures,anatomical_structure,umls:part_of,umls:cardiovascular_systems,body_system,C3714653,C0007226,"Organ region cluster which consists of regions of arterial, venous and lymphatic trees and the capillary beds that connect them. Examples: Vasculature of head, vasculature of brain.",The cardiovascular system is the body's network of the heart and blood vessels that circulates blood to deliver oxygen and nutrients.,2.0,2.0,umls:vasculatures_umls:part_of_umls:cardiovascular_systems
umls:adult_human_body,anatomical_structure,umls:part_of,umls:root_of_uwda_hierarchy,intellectual_product,C4082212,C0391807,Human body that is fully developed and mature. Examples: male adult human body and female adult human body.,The root_of_uwda_hierarchy is the top-level node in the UWDA (Universal Word Disambiguation and Annotation) hierarchical structure.,2.0,14.0,umls:adult_human_body_umls:part_of_umls:root_of_uwda_hierarchy
umls:mafenide,antibiotic,umls:ingredient_of,umls:mafenide_6mg_dental_cone,biomedical_or_dental_material,C0024452,C0978293,"A sulfonamide that inhibits the enzyme CARBONIC ANHYDRASE and is used as a topical anti-bacterial agent, especially in burn therapy.",Mafenide 6mg dental cone is a topical antimicrobial agent used to prevent and treat bacterial infections in dental procedures.,1.0,1.0,umls:mafenide_umls:ingredient_of_umls:mafenide_6mg_dental_cone
umls:erythrocin_stearate,antibiotic,umls:ingredient_of,umls:erythromycin_stearate_250_mg_erythrocin_stearate,clinical_drug,C1707948,C1995194,Erythrocin Stearate is an antibiotic compound derived from erythromycin used to treat bacterial infections.,Erythromycin stearate 250 mg (Erythrocin Stearate) is an antibiotic used to treat bacterial infections.,1.0,1.0,umls:erythrocin_stearate_umls:ingredient_of_umls:erythromycin_stearate_250_mg_erythrocin_stearate
umls:dicloxacillin,antibiotic,umls:ingredient_of,umls:dicloxacillin_25_mg_ml,clinical_drug,C0012093,C1129368,"A broad-spectrum, semi-synthetic, beta-lactam, penicillin antibiotic with bactericidal and beta-lactamase resistant activity. Dicloxacillin binds to penicillin binding proteins (PBP) located on the inner membrane of the bacterial cell wall. It also inhibits the cross-linkage of peptidoglycan, a critical component of bacterial cell walls. This leads to the inhibition of bacterial cell wall synthesis and eventually causes cell lysis.",Dicloxacillin 25 mg/mL is an antibiotic solution used to treat bacterial infections.,1.0,1.0,umls:dicloxacillin_umls:ingredient_of_umls:dicloxacillin_25_mg_ml
umls:ampicillins,antibiotic,umls:ingredient_of,umls:ampicillin_ophthalmic_ointment,clinical_drug,C0002680,C1250767,"A broad-spectrum, semi-synthetic, beta-lactam penicillin antibiotic with bactericidal activity. Ampicillin binds to and inactivates penicillin-binding proteins (PBP) located on the inner membrane of the bacterial cell wall. Inactivation of PBPs interferes with the cross-linkage of peptidoglycan chains necessary for bacterial cell wall strength and rigidity. This interrupts bacterial cell wall synthesis and results in the weakening of the bacterial cell wall and causes cell lysis. Ampicillin is stable against hydrolysis by a variety of beta-lactamases, therefore, can be used in wide range of gram-positive and -negative infections.",Ampicillin ophthalmic ointment is a topical antibiotic used to treat bacterial eye infections.,1.0,1.0,umls:ampicillins_umls:ingredient_of_umls:ampicillin_ophthalmic_ointment
umls:sodium_ceftriaxone,antibiotic,umls:ingredient_of,umls:ceftriaxone_na_500mg_vil_lidocaine_1_inj_kit,drug_delivery_device,C0700527,C0975415,"The sodium salt form of ceftriaxone, a beta-lactam, third-generation cephalosporin antibiotic with bactericidal activity. Ceftriaxone binds to and inactivates penicillin-binding proteins (PBP) located on the inner membrane of the bacterial cell wall. PBPs participate in the terminal stages of assembling the bacterial cell wall, and in reshaping the cell wall during cell division. Inactivation of PBPs interferes with the cross-linkage of peptidoglycan chains necessary for bacterial cell wall strength and rigidity. This results in the weakening of the bacterial cell wall and causes cell lysis. Compared to the second and first generation cephalosporins, ceftriaxone is more active against gram-negative bacteria and less active against gram-positive bacteria. Ceftriaxone also crosses the blood-brain barrier and reaches therapeutic concentrations in the central nervous system (CNS). Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C817"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C817"" NCI Thesaurus)",Ceftriaxone NA 500mg VIL Lidocaine 1 Inj Kit is a pre-mixed injectable antibiotic kit combining ceftriaxone and lidocaine for intramuscular use.,1.0,1.0,umls:sodium_ceftriaxone_umls:ingredient_of_umls:ceftriaxone_na_500mg_vil_lidocaine_1_inj_kit
umls:benzylpenicilloyl_polylysine,antibiotic,umls:ingredient_of,umls:benzylpenicilloyl_polylysine_inj,indicator_reagent_or_diagnostic_aid,C0053327,C0974932,Benzylpenicilloyl-polylysine is a diagnostic reagent used in skin testing to detect penicillin allergy.,Benzylpenicilloyl polylysine injection is a diagnostic reagent used for penicillin allergy testing.,1.0,1.0,umls:benzylpenicilloyl_polylysine_umls:ingredient_of_umls:benzylpenicilloyl_polylysine_inj
umls:nystatin,antibiotic,umls:ingredient_of,umls:nystatin_pwdr,pharmacologic_substance,C0028741,C0979086,"A polyene macrolide antibiotic, with antifungal activity. Upon administration, nystatin binds to sterols in the fungal plasma membrane, thereby increasing membrane permeability. This leads to leakage of important intracellular components, cell rupture, and eventually fungal cell death.",Nystatin powder is an antifungal medication used to treat fungal infections.,1.0,1.0,umls:nystatin_umls:ingredient_of_umls:nystatin_pwdr
umls:sulphadiazine,antibiotic,umls:part_of,umls:allantoin_sulfadiazine,pharmacologic_substance,C0038675,C2929465,"A synthetic pyrimidinyl sulfonamide derivative, short-acting bacteriostatic Sulfadiazine inhibits bacterial folic acid synthesis by competing with para amino benzoic acid. It is used in combination with pyrimethamine to treat toxoplasmosis in patients with acquired immunodeficiency syndrome and in newborns with congenital infections. (NCI04)",Allantoin sulfadiazine is a topical antimicrobial cream used to prevent and treat wound infections.,1.0,1.0,umls:sulphadiazine_umls:part_of_umls:allantoin_sulfadiazine
umls:escherichia_coli,bacterium,umls:ingredient_of,umls:escherichia_coli_oral_tablet,clinical_drug,C0014834,C1578019,"A common, gram negative gut bacterium that has been studied intensively by geneticists because of its small genome size, normal lack of pathogenicity, and ease of growth in the laboratory.",Escherichia coli oral tablet is a probiotic medication containing beneficial E. coli strains to support gut health.,1.0,1.0,umls:escherichia_coli_umls:ingredient_of_umls:escherichia_coli_oral_tablet
umls:lactobacillus,bacterium,umls:ingredient_of,umls:lactobacillus_cap_oral_14_lactobacillus_cap_vag_14,drug_delivery_device,C0022938,C2356477,A genus of Gram-positive facultative anaerobic or microaerophilic bacteria in the phylum Firmicutes.,Lactobacillus_cap_oral_14_lactobacillus_cap_vag_14 is a bacterial strain of Lactobacillus found in both the oral and vaginal microbiomes.,1.0,1.0,umls:lactobacillus_umls:ingredient_of_umls:lactobacillus_cap_oral_14_lactobacillus_cap_vag_14
umls:lactobacillales,bacterium,umls:ingredient_of,umls:lactic_acid_bacteria_oral_pwd,food,C1210581,C2946290,"An order of gram-positive bacteria in the class Bacilli, that have the ability to ferment sugars to lactic acid. They are widespread in nature and commonly used to produce FERMENTED FOODS.",Lactic_acid_bacteria_oral_pwd refers to a powdered preparation containing lactic acid bacteria intended for oral health applications.,1.0,1.0,umls:lactobacillales_umls:ingredient_of_umls:lactic_acid_bacteria_oral_pwd
umls:bifidobacteria,bacterium,umls:ingredient_of,umls:probiotic_combination_oral_cap,pharmacologic_substance,C0005380,C2356608,"A genus of anaerobic, Gram-positive, bifid shaped bacterium assigned to the phylum Actinobacteria and the family Bifidobacteriaceae.",A probiotic combination oral capsule is a dietary supplement containing multiple beneficial live microorganisms intended to support gut health.,1.0,1.0,umls:bifidobacteria_umls:ingredient_of_umls:probiotic_combination_oral_cap
umls:genus_mycobacterium,bacterium,umls:manifestation_of,umls:irak4_deficiency,disease_or_syndrome,C0026912,C1843256,"A genus of acid-fast Gram-positive, aerobic and nonmotile bacteria in the phylum Actinobacteria.",IRAK4 deficiency is a rare genetic disorder that impairs the immune system's ability to respond to certain bacterial infections.,1.0,1.0,umls:genus_mycobacterium_umls:manifestation_of_umls:irak4_deficiency
umls:slow_growing_mycobacteria,bacterium,umls:method_of,umls:deprecated_ethionamide_10_0_ug_ml_susceptibility_by_method_for_slow_growing_mycobacteria,clinical_attribute,C1959618,C1643198,Slow-growing Mycobacteria are a group of bacteria characterized by their prolonged replication time and include species that can cause chronic infections such as tuberculosis.,A deprecated test measuring ethionamide susceptibility at 10.0 µg/mL for slow-growing mycobacteria using a specific method.,1.0,1.0,umls:slow_growing_mycobacteria_umls:method_of_umls:deprecated_ethionamide_10_0_ug_ml_susceptibility_by_method_for_slow_growing_mycobacteria
umls:lactobacillus_acidophilus,bacterium,umls:part_of,umls:lactobacillus_acidophilus_lactobacillus_bifidus,pharmacologic_substance,C0022939,C2929765,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is nonmotile, homofermentative, indole negative, produces vitamin K, lactase and amylase and does not ferment mannitol. L. acidophilus is a commensal organism of the gastrointestinal tract, mouth and vagina with probiotic activity.",Lactobacillus acidophilus and Lactobacillus bifidus are beneficial probiotic bacteria commonly found in the human gut and fermented dairy products.,1.0,1.0,umls:lactobacillus_acidophilus_umls:part_of_umls:lactobacillus_acidophilus_lactobacillus_bifidus
umls:maintenance_of_protein_localisation_to_organelle,biologic_function,umls:occurs_in,umls:organelle,cell_component,C3156656,C0029219,"Any process in which a protein is maintained in a specific location a specific location on or in an organelle, and is prevented from moving elsewhere. Encompasses establishment of localization in the membrane or lumen of a membrane-bounded organelle. [GOC:mah]",An organelle is a specialized structure within a cell that performs a specific function.,1.0,1.0,umls:maintenance_of_protein_localisation_to_organelle_umls:occurs_in_umls:organelle
umls:maintenance_of_protein_localisation_in_endoplasmic_reticulum,biologic_function,umls:occurs_in,umls:reticulum_endoplasmic,cell_component,C3158604,C0014239,"Any process in which a protein is maintained in the endoplasmic reticulum and prevented from moving elsewhere. These include sequestration within the endoplasmic reticulum, protein stabilization to prevent transport elsewhere and the active retrieval of proteins that escape the endoplasmic reticulum. [GOC:bf, GOC:vw]",The endoplasmic reticulum is a network of membranous tubules within the cytoplasm of a cell involved in protein and lipid synthesis.,1.0,2.0,umls:maintenance_of_protein_localisation_in_endoplasmic_reticulum_umls:occurs_in_umls:reticulum_endoplasmic
umls:maintenance_of_protein_location_in_chloroplast,biologic_function,umls:occurs_in,umls:chloroplast,cell_component,C3156658,C0008266,"Any process in which a protein is maintained in a specific location in a chloroplast, and is prevented from moving elsewhere. [GOC:mah]",A chloroplast is a plant cell organelle that conducts photosynthesis by converting sunlight into chemical energy.,1.0,6.0,umls:maintenance_of_protein_location_in_chloroplast_umls:occurs_in_umls:chloroplast
